#Top: chaos_fifo   Floorplan: rtl_1   Part: xcvu9p-flga2104-2L-e
#Generated by: RISHIK NAIR   on: Sun Nov 30 18:39:38 2025
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: PRODUCTION 1.1 3/7/2017
#Package Pin Delay Version: PRODUCTION 1.0 2/19/2016

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 33 unassigned signals in this design. The last 33 rows of this file list these signals.
################################################################################

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
40,BA32,IOB_X0Y67,IO_L8P_T1L_N2_AD5P_40,86.330,87.198,,,,,,,,,,,,,,,,,,,,
40,BA31,IOB_X0Y70,IO_L9N_T1L_N5_AD12N_40,86.158,87.024,,,,,,,,,,,,,,,,,,,,
40,BA30,IOB_X0Y69,IO_L9P_T1L_N4_AD12P_40,87.611,88.491,,,,,,,,,,,,,,,,,,,,
40,BA34,IOB_X0Y72,IO_L10N_T1U_N7_QBC_AD4N_40,91.530,92.450,,,,,,,,,,,,,,,,,,,,
40,AY34,IOB_X0Y71,IO_L10P_T1U_N6_QBC_AD4P_40,91.293,92.211,,,,,,,,,,,,,,,,,,,,
40,AW32,IOB_X0Y74,IO_L11N_T1U_N9_GC_40,77.752,78.533,,,,,,,,,,,,,,,,,,,,
40,AW31,IOB_X0Y73,IO_L11P_T1U_N8_GC_40,76.947,77.720,,,,,,,,,,,,,,,,,,,,
40,AY33,IOB_X0Y76,IO_L12N_T1U_N11_GC_40,81.747,82.569,,,,,,,,,,,,,,,,,,,,
40,AY32,IOB_X0Y75,IO_L12P_T1U_N10_GC_40,80.885,81.698,,,,,,,,,,,,,,,,,,,,
40,AW33,IOB_X0Y79,IO_L13N_T2L_N1_GC_QBC_40,85.589,86.449,,,,,,,,,,,,,,,,,,,,
40,AV33,IOB_X0Y78,IO_L13P_T2L_N0_GC_QBC_40,86.700,87.571,,,,,,,,,,,,,,,,,,,,
40,AW30,IOB_X0Y81,IO_L14N_T2L_N3_GC_40,70.886,71.598,,,,,,,,,,,,,,,,,,,,
40,AV30,IOB_X0Y80,IO_L14P_T2L_N2_GC_40,69.956,70.659,,,,,,,,,,,,,,,,,,,,
40,AU34,IOB_X0Y83,IO_L15N_T2L_N5_AD11N_40,88.234,89.121,,,,,,,,,,,,,,,,,,,,
40,AU33,IOB_X0Y82,IO_L15P_T2L_N4_AD11P_40,81.494,82.313,,,,,,,,,,,,,,,,,,,,
40,AV29,IOB_X0Y85,IO_L16N_T2U_N7_QBC_AD3N_40,69.193,69.888,,,,,,,,,,,,,,,,,,,,
40,AU29,IOB_X0Y84,IO_L16P_T2U_N6_QBC_AD3P_40,70.135,70.840,,,,,,,,,,,,,,,,,,,,
40,AU32,IOB_X0Y87,IO_L17N_T2U_N9_AD10N_40,75.621,76.381,,,,,,,,,,,,,,,,,,,,
40,AT31,IOB_X0Y86,IO_L17P_T2U_N8_AD10P_40,72.315,73.042,,,,,,,,,,,,,,,,,,,,
40,AV31,IOB_X0Y89,IO_L18N_T2U_N11_AD2N_40,70.477,71.185,,,,,,,,,,,,,,,,,,,,
40,AU31,IOB_X0Y88,IO_L18P_T2U_N10_AD2P_40,68.881,69.573,,,,,,,,,,,,,,,,,,,,
40,AT32,IOB_X0Y92,IO_L19N_T3L_N1_DBC_AD9N_40,78.728,79.519,,,,,,,,,,,,,,,,,,,,
40,AR32,IOB_X0Y91,IO_L19P_T3L_N0_DBC_AD9P_40,79.152,79.947,,,,,,,,,,,,,,,,,,,,
40,AT34,IOB_X0Y94,IO_L20N_T3L_N3_AD1N_40,86.844,87.717,,,,,,,,,,,,,,,,,,,,
40,AR33,IOB_X0Y93,IO_L20P_T3L_N2_AD1P_40,79.381,80.178,,,,,,,,,,,,,,,,,,,,
40,AT30,IOB_X0Y96,IO_L21N_T3L_N5_AD8N_40,64.085,64.729,,,,,,,,,,,,,,,,,,,,
40,AT29,IOB_X0Y95,IO_L21P_T3L_N4_AD8P_40,61.419,62.036,,,,,,,,,,,,,,,,,,,,
40,AP32,IOB_X0Y98,IO_L22N_T3U_N7_DBC_AD0N_40,74.915,75.668,,,,,,,,,,,,,,,,,,,,
40,AP31,IOB_X0Y97,IO_L22P_T3U_N6_DBC_AD0P_40,74.071,74.815,,,,,,,,,,,,,,,,,,,,
40,AR30,IOB_X0Y100,IO_L23N_T3U_N9_40,65.727,66.388,,,,,,,,,,,,,,,,,,,,
40,AP30,IOB_X0Y99,IO_L23P_T3U_N8_40,69.519,70.217,,,,,,,,,,,,,,,,,,,,
40,AN31,IOB_X0Y102,IO_L24N_T3U_N11_40,72.350,73.077,,,,,,,,,,,,,,,,,,,,
40,AN30,IOB_X0Y101,IO_L24P_T3U_N10_40,67.036,67.710,,,,,,,,,,,,,,,,,,,,
40,AN29,,VREF_40,,,,,,,,,,,,,,,,,,,,,,
40,AR31,,VCCO_40,,,,,,,,,,,,,,,,,,,,VCCO_40,0.00-1.80,
40,AV32,,VCCO_40,,,,,,,,,,,,,,,,,,,,VCCO_40,0.00-1.80,
40,AW29,,VCCO_40,,,,,,,,,,,,,,,,,,,,VCCO_40,0.00-1.80,
40,BA33,,VCCO_40,,,,,,,,,,,,,,,,,,,,VCCO_40,0.00-1.80,
40,BB30,,VCCO_40,,,,,,,,,,,,,,,,,,,,VCCO_40,0.00-1.80,
40,BE31,,VCCO_40,,,,,,,,,,,,,,,,,,,,VCCO_40,0.00-1.80,
41,BC29,IOB_X0Y116,IO_T0U_N12_VRP_41,113.129,114.266,,,,,,,,,,,,,,,,,,,,
41,AY29,IOB_X0Y129,IO_T1U_N12_41,107.969,109.054,,,,,,,,,,,,,,,,,,,,
41,AV25,IOB_X0Y142,IO_T2U_N12_41,72.035,72.759,,,,,,,,,,,,,,,,,,,,
41,AN25,IOB_X0Y155,IO_T3U_N12_41,57.688,58.268,,,,,,,,,,,,,,,,,,,,
41,BF29,IOB_X0Y105,IO_L1N_T0L_N1_DBC_41,121.694,122.917,,,,,,,,,,,,,,,,,,,,
41,BE29,IOB_X0Y104,IO_L1P_T0L_N0_DBC_41,121.961,123.186,,,,,,,,,,,,,,,,,,,,
41,BF27,IOB_X0Y107,IO_L2N_T0L_N3_41,127.791,129.075,,,,,,,,,,,,,,,,,,,,
41,BF26,IOB_X0Y106,IO_L2P_T0L_N2_41,120.907,122.123,,,,,,,,,,,,,,,,,,,,
41,BE28,IOB_X0Y109,IO_L3N_T0L_N5_AD15N_41,118.359,119.549,,,,,,,,,,,,,,,,,,,,
41,BD28,IOB_X0Y108,IO_L3P_T0L_N4_AD15P_41,116.991,118.167,,,,,,,,,,,,,,,,,,,,
41,BF25,IOB_X0Y111,IO_L4N_T0U_N7_DBC_AD7N_41,132.541,133.873,,,,,,,,,,,,,,,,,,,,
41,BE25,IOB_X0Y110,IO_L4P_T0U_N6_DBC_AD7P_41,131.233,132.552,,,,,,,,,,,,,,,,,,,,
41,BE27,IOB_X0Y113,IO_L5N_T0U_N9_AD14N_41,118.209,119.397,,,,,,,,,,,,,,,,,,,,
41,BD27,IOB_X0Y112,IO_L5P_T0U_N8_AD14P_41,119.635,120.837,,,,,,,,,,,,,,,,,,,,
41,BD26,IOB_X0Y115,IO_L6N_T0U_N11_AD6N_41,108.980,110.076,,,,,,,,,,,,,,,,,,,,
41,BD25,IOB_X0Y114,IO_L6P_T0U_N10_AD6P_41,110.190,111.298,,,,,,,,,,,,,,,,,,,,
41,BB29,IOB_X0Y118,IO_L7N_T1L_N1_QBC_AD13N_41,114.000,115.146,,,,,,,,,,,,,,,,,,,,
41,BA29,IOB_X0Y117,IO_L7P_T1L_N0_QBC_AD13P_41,113.258,114.396,,,,,,,,,,,,,,,,,,,,
41,BC26,IOB_X0Y120,IO_L8N_T1L_N3_AD5N_41,105.570,106.631,,,,,,,,,,,,,,,,,,,,
41,BC25,IOB_X0Y119,IO_L8P_T1L_N2_AD5P_41,104.570,105.621,,,,,,,,,,,,,,,,,,,,
41,BC28,IOB_X0Y122,IO_L9N_T1L_N5_AD12N_41,117.307,118.486,,,,,,,,,,,,,,,,,,,,
41,BB28,IOB_X0Y121,IO_L9P_T1L_N4_AD12P_41,110.738,111.850,,,,,,,,,,,,,,,,,,,,
41,BB26,IOB_X0Y124,IO_L10N_T1U_N7_QBC_AD4N_41,99.369,100.368,,,,,,,,,,,,,,,,,,,,
41,BA26,IOB_X0Y123,IO_L10P_T1U_N6_QBC_AD4P_41,98.467,99.457,,,,,,,,,,,,,,,,,,,,
41,AY28,IOB_X0Y126,IO_L11N_T1U_N9_GC_41,99.103,100.099,,,,,,,,,,,,,,,,,,,,
41,AY27,IOB_X0Y125,IO_L11P_T1U_N8_GC_41,99.844,100.847,,,,,,,,,,,,,,,,,,,,
41,BB27,IOB_X0Y128,IO_L12N_T1U_N11_GC_41,108.468,109.558,,,,,,,,,,,,,,,,,,,,
41,BA27,IOB_X0Y127,IO_L12P_T1U_N10_GC_41,109.176,110.273,,,,,,,,,,,,,,,,,,,,
41,AW27,IOB_X0Y131,IO_L13N_T2L_N1_GC_QBC_41,91.969,92.894,,,,,,,,,,,,,,,,,,,,
41,AW26,IOB_X0Y130,IO_L13P_T2L_N0_GC_QBC_41,90.986,91.901,,,,,,,,,,,,,,,,,,,,
41,AV26,IOB_X0Y133,IO_L14N_T2L_N3_GC_41,81.814,82.636,,,,,,,,,,,,,,,,,,,,
41,AU26,IOB_X0Y132,IO_L14P_T2L_N2_GC_41,82.056,82.880,,,,,,,,,,,,,,,,,,,,
41,AW28,IOB_X0Y135,IO_L15N_T2L_N5_AD11N_41,97.600,98.581,,,,,,,,,,,,,,,,,,,,
41,AV28,IOB_X0Y134,IO_L15P_T2L_N4_AD11P_41,91.444,92.363,,,,,,,,,,,,,,,,,,,,
41,AT27,IOB_X0Y137,IO_L16N_T2U_N7_QBC_AD3N_41,72.580,73.309,,,,,,,,,,,,,,,,,,,,
41,AT26,IOB_X0Y136,IO_L16P_T2U_N6_QBC_AD3P_41,71.992,72.716,,,,,,,,,,,,,,,,,,,,
41,AU28,IOB_X0Y139,IO_L17N_T2U_N9_AD10N_41,97.474,98.454,,,,,,,,,,,,,,,,,,,,
41,AU27,IOB_X0Y138,IO_L17P_T2U_N8_AD10P_41,86.735,87.606,,,,,,,,,,,,,,,,,,,,
41,AT25,IOB_X0Y141,IO_L18N_T2U_N11_AD2N_41,69.998,70.701,,,,,,,,,,,,,,,,,,,,
41,AR25,IOB_X0Y140,IO_L18P_T2U_N10_AD2P_41,77.568,78.348,,,,,,,,,,,,,,,,,,,,
41,AR28,IOB_X0Y144,IO_L19N_T3L_N1_DBC_AD9N_41,46.517,46.985,,,,,,,,,,,,,,,,,,,,
41,AR27,IOB_X0Y143,IO_L19P_T3L_N0_DBC_AD9P_41,46.717,47.186,,,,,,,,,,,,,,,,,,,,
41,AN26,IOB_X0Y146,IO_L20N_T3L_N3_AD1N_41,70.173,70.878,,,,,,,,,,,,,,,,,,,,
41,AM26,IOB_X0Y145,IO_L20P_T3L_N2_AD1P_41,73.039,73.773,,,,,,,,,,,,,,,,,,,,
41,AP28,IOB_X0Y148,IO_L21N_T3L_N5_AD8N_41,54.165,54.710,,,,,,,,,,,,,,,,,,,,
41,AP27,IOB_X0Y147,IO_L21P_T3L_N4_AD8P_41,50.364,50.870,,,,,,,,,,,,,,,,,,,,
41,AN28,IOB_X0Y150,IO_L22N_T3U_N7_DBC_AD0N_41,61.195,61.810,,,,,,,,,,,,,,,,,,,,
41,AM28,IOB_X0Y149,IO_L22P_T3U_N6_DBC_AD0P_41,61.532,62.151,,,,,,,,,,,,,,,,,,,,
41,AP26,IOB_X0Y152,IO_L23N_T3U_N9_41,57.427,58.004,,,,,,,,,,,,,,,,,,,,
41,AP25,IOB_X0Y151,IO_L23P_T3U_N8_41,52.199,52.724,,,,,,,,,,,,,,,,,,,,
41,AM27,IOB_X0Y154,IO_L24N_T3U_N11_41,67.717,68.397,,,,,,,,,,,,,,,,,,,,
41,AL27,IOB_X0Y153,IO_L24P_T3U_N10_41,72.481,73.210,,,,,,,,,,,,,,,,,,,,
41,AL26,,VREF_41,,,,,,,,,,,,,,,,,,,,,,
41,AN27,,VCCO_41,,,,,,,,,,,,,,,,,,,,VCCO_41,0.00-1.80,
41,AT28,,VCCO_41,,,,,,,,,,,,,,,,,,,,VCCO_41,0.00-1.80,
41,AU25,,VCCO_41,,,,,,,,,,,,,,,,,,,,VCCO_41,0.00-1.80,
41,AY26,,VCCO_41,,,,,,,,,,,,,,,,,,,,VCCO_41,0.00-1.80,
41,BC27,,VCCO_41,,,,,,,,,,,,,,,,,,,,VCCO_41,0.00-1.80,
41,BF28,,VCCO_41,,,,,,,,,,,,,,,,,,,,VCCO_41,0.00-1.80,
42,BB34,IOB_X0Y168,IO_T0U_N12_VRP_42,146.523,147.995,,,,,,,,,,,,,,,,,,,,
42,BC40,IOB_X0Y181,IO_T1U_N12_42,167.227,168.908,,,,,,,,,,,,,,,,,,,,
42,AY35,IOB_X0Y194,IO_T2U_N12_42,148.243,149.732,,,,,,,,,,,,,,,,,,,,
42,AU37,IOB_X0Y207,IO_T3U_N12_42,161.674,163.299,,,,,,,,,,,,,,,,,,,,
42,BD35,IOB_X0Y157,IO_L1N_T0L_N1_DBC_42,149.832,151.338,,,,,,,,,,,,,,,,,,,,
42,BC34,IOB_X0Y156,IO_L1P_T0L_N0_DBC_42,150.242,151.752,,,,,,,,,,,,,,,,,,,,
42,BF34,IOB_X0Y159,IO_L2N_T0L_N3_42,152.114,153.643,,,,,,,,,,,,,,,,,,,,
42,BE34,IOB_X0Y158,IO_L2P_T0L_N2_42,146.640,148.113,,,,,,,,,,,,,,,,,,,,
42,BC36,IOB_X0Y161,IO_L3N_T0L_N5_AD15N_42,150.167,151.677,,,,,,,,,,,,,,,,,,,,
42,BC35,IOB_X0Y160,IO_L3P_T0L_N4_AD15P_42,149.699,151.204,,,,,,,,,,,,,,,,,,,,
42,BF35,IOB_X0Y163,IO_L4N_T0U_N7_DBC_AD7N_42,157.156,158.735,,,,,,,,,,,,,,,,,,,,
42,BE35,IOB_X0Y162,IO_L4P_T0U_N6_DBC_AD7P_42,158.169,159.758,,,,,,,,,,,,,,,,,,,,
42,BE37,IOB_X0Y165,IO_L5N_T0U_N9_AD14N_42,165.358,167.020,,,,,,,,,,,,,,,,,,,,
42,BD36,IOB_X0Y164,IO_L5P_T0U_N8_AD14P_42,164.671,166.326,,,,,,,,,,,,,,,,,,,,
42,BF37,IOB_X0Y167,IO_L6N_T0U_N11_AD6N_42,162.839,164.476,,,,,,,,,,,,,,,,,,,,
42,BF36,IOB_X0Y166,IO_L6P_T0U_N10_AD6P_42,159.389,160.990,,,,,,,,,,,,,,,,,,,,
42,BF40,IOB_X0Y170,IO_L7N_T1L_N1_QBC_AD13N_42,186.671,188.547,,,,,,,,,,,,,,,,,,,,
42,BE40,IOB_X0Y169,IO_L7P_T1L_N0_QBC_AD13P_42,185.966,187.835,,,,,,,,,,,,,,,,,,,,
42,BE38,IOB_X0Y172,IO_L8N_T1L_N3_AD5N_42,161.131,162.750,,,,,,,,,,,,,,,,,,,,
42,BD37,IOB_X0Y171,IO_L8P_T1L_N2_AD5P_42,164.227,165.878,,,,,,,,,,,,,,,,,,,,
42,BD40,IOB_X0Y174,IO_L9N_T1L_N5_AD12N_42,187.247,189.129,,,,,,,,,,,,,,,,,,,,
42,BC39,IOB_X0Y173,IO_L9P_T1L_N4_AD12P_42,186.107,187.978,,,,,,,,,,,,,,,,,,,,
42,BF39,IOB_X0Y176,IO_L10N_T1U_N7_QBC_AD4N_42,174.837,176.594,,,,,,,,,,,,,,,,,,,,
42,BE39,IOB_X0Y175,IO_L10P_T1U_N6_QBC_AD4P_42,173.875,175.623,,,,,,,,,,,,,,,,,,,,
42,BB39,IOB_X0Y178,IO_L11N_T1U_N9_GC_42,170.685,172.401,,,,,,,,,,,,,,,,,,,,
42,BB38,IOB_X0Y177,IO_L11P_T1U_N8_GC_42,170.522,172.236,,,,,,,,,,,,,,,,,,,,
42,BD38,IOB_X0Y180,IO_L12N_T1U_N11_GC_42,161.390,163.012,,,,,,,,,,,,,,,,,,,,
42,BC38,IOB_X0Y179,IO_L12P_T1U_N10_GC_42,162.309,163.940,,,,,,,,,,,,,,,,,,,,
42,BA37,IOB_X0Y183,IO_L13N_T2L_N1_GC_QBC_42,166.629,168.304,,,,,,,,,,,,,,,,,,,,
42,AY37,IOB_X0Y182,IO_L13P_T2L_N0_GC_QBC_42,166.832,168.509,,,,,,,,,,,,,,,,,,,,
42,BB37,IOB_X0Y185,IO_L14N_T2L_N3_GC_42,158.373,159.965,,,,,,,,,,,,,,,,,,,,
42,BB36,IOB_X0Y184,IO_L14P_T2L_N2_GC_42,157.068,158.647,,,,,,,,,,,,,,,,,,,,
42,BA40,IOB_X0Y187,IO_L15N_T2L_N5_AD11N_42,170.957,172.675,,,,,,,,,,,,,,,,,,,,
42,BA39,IOB_X0Y186,IO_L15P_T2L_N4_AD11P_42,171.511,173.235,,,,,,,,,,,,,,,,,,,,
42,BA36,IOB_X0Y189,IO_L16N_T2U_N7_QBC_AD3N_42,153.257,154.797,,,,,,,,,,,,,,,,,,,,
42,BA35,IOB_X0Y188,IO_L16P_T2U_N6_QBC_AD3P_42,152.739,154.274,,,,,,,,,,,,,,,,,,,,
42,AY40,IOB_X0Y191,IO_L17N_T2U_N9_AD10N_42,172.142,173.873,,,,,,,,,,,,,,,,,,,,
42,AW40,IOB_X0Y190,IO_L17P_T2U_N8_AD10P_42,174.450,176.204,,,,,,,,,,,,,,,,,,,,
42,AY39,IOB_X0Y193,IO_L18N_T2U_N11_AD2N_42,155.517,157.080,,,,,,,,,,,,,,,,,,,,
42,AY38,IOB_X0Y192,IO_L18P_T2U_N10_AD2P_42,154.958,156.516,,,,,,,,,,,,,,,,,,,,
42,AV36,IOB_X0Y196,IO_L19N_T3L_N1_DBC_AD9N_42,159.363,160.965,,,,,,,,,,,,,,,,,,,,
42,AV35,IOB_X0Y195,IO_L19P_T3L_N0_DBC_AD9P_42,158.491,160.084,,,,,,,,,,,,,,,,,,,,
42,AW36,IOB_X0Y198,IO_L20N_T3L_N3_AD1N_42,151.868,153.394,,,,,,,,,,,,,,,,,,,,
42,AW35,IOB_X0Y197,IO_L20P_T3L_N2_AD1P_42,153.225,154.765,,,,,,,,,,,,,,,,,,,,
42,AV40,IOB_X0Y200,IO_L21N_T3L_N5_AD8N_42,171.174,172.894,,,,,,,,,,,,,,,,,,,,
42,AU40,IOB_X0Y199,IO_L21P_T3L_N4_AD8P_42,177.887,179.675,,,,,,,,,,,,,,,,,,,,
42,AW38,IOB_X0Y202,IO_L22N_T3U_N7_DBC_AD0N_42,163.802,165.448,,,,,,,,,,,,,,,,,,,,
42,AW37,IOB_X0Y201,IO_L22P_T3U_N6_DBC_AD0P_42,163.334,164.975,,,,,,,,,,,,,,,,,,,,
42,AU39,IOB_X0Y204,IO_L23N_T3U_N9_42,170.328,172.040,,,,,,,,,,,,,,,,,,,,
42,AU38,IOB_X0Y203,IO_L23P_T3U_N8_42,167.852,169.539,,,,,,,,,,,,,,,,,,,,
42,AV39,IOB_X0Y206,IO_L24N_T3U_N11_42,171.333,173.055,,,,,,,,,,,,,,,,,,,,
42,AV38,IOB_X0Y205,IO_L24P_T3U_N10_42,167.425,169.108,,,,,,,,,,,,,,,,,,,,
42,AU35,,VCCO_42,,,,,,,,,,,,,,,,,,,,VCCO_42,0.00-1.80,
42,AU36,,VREF_42,,,,,,,,,,,,,,,,,,,,,,
42,AW39,,VCCO_42,,,,,,,,,,,,,,,,,,,,VCCO_42,0.00-1.80,
42,AY36,,VCCO_42,,,,,,,,,,,,,,,,,,,,VCCO_42,0.00-1.80,
42,BB40,,VCCO_42,,,,,,,,,,,,,,,,,,,,VCCO_42,0.00-1.80,
42,BC37,,VCCO_42,,,,,,,,,,,,,,,,,,,,VCCO_42,0.00-1.80,
42,BD34,,VCCO_42,,,,,,,,,,,,,,,,,,,,VCCO_42,0.00-1.80,
42,BF38,,VCCO_42,,,,,,,,,,,,,,,,,,,,VCCO_42,0.00-1.80,
43,AR34,IOB_X0Y220,IO_T0U_N12_VRP_43,126.215,127.483,,,,,,,,,,,,,,,,,,,,
43,AK35,IOB_X0Y233,IO_T1U_N12_43,101.017,102.033,,,,,,,,,,,,,,,,,,,,
43,AM31,IOB_X0Y246,IO_T2U_N12_43,88.286,89.173,,,,,,,,,,,,,,,,,,,,
43,AH30,IOB_X0Y259,IO_T3U_N12_43,75.087,75.842,,,,,,,,,,,,,,,,,,,,
43,AR38,IOB_X0Y209,IO_L1N_T0L_N1_DBC_43,133.089,134.427,,,,,,,,,,,,,,,,,,,,
43,AP38,IOB_X0Y208,IO_L1P_T0L_N0_DBC_43,134.113,135.461,,,,,,,,,,,,,,,,,,,,
43,AT36,IOB_X0Y211,IO_L2N_T0L_N3_43,120.716,121.929,,,,,,,,,,,,,,,,,,,,
43,AT35,IOB_X0Y210,IO_L2P_T0L_N2_43,116.706,117.879,,,,,,,,,,,,,,,,,,,,
43,AR35,IOB_X0Y213,IO_L3N_T0L_N5_AD15N_43,115.927,117.092,,,,,,,,,,,,,,,,,,,,
43,AP35,IOB_X0Y212,IO_L3P_T0L_N4_AD15P_43,120.081,121.288,,,,,,,,,,,,,,,,,,,,
43,AT40,IOB_X0Y215,IO_L4N_T0U_N7_DBC_AD7N_43,138.246,139.636,,,,,,,,,,,,,,,,,,,,
43,AT39,IOB_X0Y214,IO_L4P_T0U_N6_DBC_AD7P_43,137.156,138.535,,,,,,,,,,,,,,,,,,,,
43,AP37,IOB_X0Y217,IO_L5N_T0U_N9_AD14N_43,117.420,118.600,,,,,,,,,,,,,,,,,,,,
